,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,location,phone,display_phone,distance,price
0,kwYSvEQ_DS5U-1zR40q6fA,insider-eats-pittsburgh,Insider Eats,https://s3-media2.fl.yelpcdn.com/bphoto/VwzgDP3gY3O8GYWkCM4qlg/o.jpg,False,https://www.yelp.com/biz/insider-eats-pittsburgh?adjust_creative=riGs9HFJ8WOkIw6XYd7onA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=riGs9HFJ8WOkIw6XYd7onA,6,"[{'alias': 'fooddeliveryservices', 'title': 'Food Delivery Services'}]",5.0,"{'latitude': 40.47224272772864, 'longitude': -79.91324192498786}",[],"{'address1': None, 'address2': None, 'address3': None, 'city': 'Pittsburgh', 'zip_code': '15206', 'country': 'US', 'state': 'PA', 'display_address': ['Pittsburgh, PA 15206']}",,,6359.219931991653,
1,zzddtpIpkxjg3h-QK1a7_A,sōcal-mexicali-grill-new-kensington-2,SōCal Mexicali Grill,https://s3-media4.fl.yelpcdn.com/bphoto/jXHGO0N_v2Q07M9uY9EXMw/o.jpg,False,https://www.yelp.com/biz/s%C5%8Dcal-mexicali-grill-new-kensington-2?adjust_creative=riGs9HFJ8WOkIw6XYd7onA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=riGs9HFJ8WOkIw6XYd7onA,23,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'poke', 'title': 'Poke'}, {'alias': 'ramen', 'title': 'Ramen'}]",5.0,"{'latitude': 40.56275, 'longitude': -79.76421}",[],"{'address1': '700 5th Ave', 'address2': None, 'address3': '', 'city': 'New Kensington', 'zip_code': '15068', 'country': 'US', 'state': 'PA', 'display_address': ['700 5th Ave', 'New Kensington, PA 15068']}",+17242123143,(724) 212-3143,22407.60023436006,
2,DUYO3j2zAjsQ94HYqbFsCA,gaby-et-jules-café-pittsburgh-3,Gaby et Jules Café ,https://s3-media3.fl.yelpcdn.com/bphoto/GOmbxyxOSPfVS546TF_9Hw/o.jpg,False,https://www.yelp.com/biz/gaby-et-jules-caf%C3%A9-pittsburgh-3?adjust_creative=riGs9HFJ8WOkIw6XYd7onA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=riGs9HFJ8WOkIw6XYd7onA,28,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'macarons', 'title': 'Macarons'}, {'alias': 'chocolate', 'title': 'Chocolatiers & Shops'}]",4.5,"{'latitude': 40.46104, 'longitude': -79.92448}",['delivery'],"{'address1': '6006 Penn Ave', 'address2': '', 'address3': None, 'city': 'Pittsburgh', 'zip_code': '15206', 'country': 'US', 'state': 'PA', 'display_address': ['6006 Penn Ave', 'Pittsburgh, PA 15206']}",+14126611966,(412) 661-1966,4971.833450978476,
3,E9Gnux898nomZK0fYErQVw,everyday-cafe-pittsburgh,Everyday Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/cOFCUcFubAqLW8GcPNX8Rg/o.jpg,False,https://www.yelp.com/biz/everyday-cafe-pittsburgh?adjust_creative=riGs9HFJ8WOkIw6XYd7onA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=riGs9HFJ8WOkIw6XYd7onA,46,"[{'alias': 'cafes', 'title': 'Cafes'}]",4.5,"{'latitude': 40.4533598854858, 'longitude': -79.8981681838632}",['delivery'],"{'address1': '532 N Homewood Ave', 'address2': '', 'address3': None, 'city': 'Pittsburgh', 'zip_code': '15208', 'country': 'US', 'state': 'PA', 'display_address': ['532 N Homewood Ave', 'Pittsburgh, PA 15208']}",+14127272169,(412) 727-2169,6915.63090021836,$
4,PNgDXioOLZ1aMFMihkdMBQ,bryant-street-market-pittsburgh,Bryant Street Market,https://s3-media3.fl.yelpcdn.com/bphoto/j_NwjSwBTRqMWg308zlBbw/o.jpg,False,https://www.yelp.com/biz/bryant-street-market-pittsburgh?adjust_creative=riGs9HFJ8WOkIw6XYd7onA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=riGs9HFJ8WOkIw6XYd7onA,26,"[{'alias': 'grocery', 'title': 'Grocery'}]",4.5,"{'latitude': 40.47591, 'longitude': -79.91954}",[],"{'address1': '5901 Bryant St', 'address2': '', 'address3': '', 'city': 'Pittsburgh', 'zip_code': '15206', 'country': 'US', 'state': 'PA', 'display_address': ['5901 Bryant St', 'Pittsburgh, PA 15206']}",+14126618720,(412) 661-8720,6113.464143857961,$$
5,rreIYrzI9U052p7nN_qogA,pittsburgh-poke-pittsburgh-2,Pittsburgh Poke,https://s3-media4.fl.yelpcdn.com/bphoto/jO1C9JlolfuU0OjEiGNQ_Q/o.jpg,False,https://www.yelp.com/biz/pittsburgh-poke-pittsburgh-2?adjust_creative=riGs9HFJ8WOkIw6XYd7onA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=riGs9HFJ8WOkIw6XYd7onA,152,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'poke', 'title': 'Poke'}, {'alias': 'thai', 'title': 'Thai'}]",4.5,"{'latitude': 40.42912, 'longitude': -79.98181}","['delivery', 'pickup']","{'address1': '1703 East Carson St', 'address2': '', 'address3': None, 'city': 'Pittsburgh', 'zip_code': '15203', 'country': 'US', 'state': 'PA', 'display_address': ['1703 East Carson St', 'Pittsburgh, PA 15203']}",+14129181366,(412) 918-1366,1744.3031823913198,$$
6,heJWGPIvNGeKycVXgSIxzA,k-town-snack-bar-pittsburgh-2,K-Town Snack Bar,https://s3-media3.fl.yelpcdn.com/bphoto/VwclwahylfTou1cWHUe8xA/o.jpg,False,https://www.yelp.com/biz/k-town-snack-bar-pittsburgh-2?adjust_creative=riGs9HFJ8WOkIw6XYd7onA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=riGs9HFJ8WOkIw6XYd7onA,26,"[{'alias': 'korean', 'title': 'Korean'}]",4.0,"{'latitude': 40.441179, 'longitude': -79.956748}","['delivery', 'pickup']","{'address1': '210 Oakland Ave', 'address2': '', 'address3': None, 'city': 'Pittsburgh', 'zip_code': '15213', 'country': 'US', 'state': 'PA', 'display_address': ['210 Oakland Ave', 'Pittsburgh, PA 15213']}",,,1923.9258445670278,
7,hcFSc0OHgZJybnjQBrL_8Q,everyday-noodles-pittsburgh,Everyday Noodles,https://s3-media4.fl.yelpcdn.com/bphoto/OFlXsY2-fdfI3XVy20Q_5g/o.jpg,False,https://www.yelp.com/biz/everyday-noodles-pittsburgh?adjust_creative=riGs9HFJ8WOkIw6XYd7onA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=riGs9HFJ8WOkIw6XYd7onA,948,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.0,"{'latitude': 40.438262, 'longitude': -79.920082}","['delivery', 'pickup']","{'address1': '5875 Forbes Ave', 'address2': '', 'address3': '', 'city': 'Pittsburgh', 'zip_code': '15217', 'country': 'US', 'state': 'PA', 'display_address': ['5875 Forbes Ave', 'Pittsburgh, PA 15217']}",+14124216668,(412) 421-6668,5044.765193980327,$$
8,EXF-imcOSptiuzlirPjljA,oya-sushi-and-korean-grill-pittsburgh-2,Oya Sushi & Korean Grill,https://s3-media3.fl.yelpcdn.com/bphoto/IDDFJsnfGF4Jl0m0YXCT0Q/o.jpg,False,https://www.yelp.com/biz/oya-sushi-and-korean-grill-pittsburgh-2?adjust_creative=riGs9HFJ8WOkIw6XYd7onA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=riGs9HFJ8WOkIw6XYd7onA,158,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'bbq', 'title': 'Barbeque'}]",4.0,"{'latitude': 40.36948, 'longitude': -80.03506}",['delivery'],"{'address1': '325 Mt Lebanon Blvd', 'address2': '', 'address3': None, 'city': 'Pittsburgh', 'zip_code': '15234', 'country': 'US', 'state': 'PA', 'display_address': ['325 Mt Lebanon Blvd', 'Pittsburgh, PA 15234']}",+14128928602,(412) 892-8602,9612.206212357485,$$
9,da62X2tpj9tF0olWTigjBg,little-tokyo-pittsburgh,Little Tokyo,https://s3-media4.fl.yelpcdn.com/bphoto/bR04adOzNVTSuMrcbnB2Ow/o.jpg,False,https://www.yelp.com/biz/little-tokyo-pittsburgh?adjust_creative=riGs9HFJ8WOkIw6XYd7onA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=riGs9HFJ8WOkIw6XYd7onA,277,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}]",4.0,"{'latitude': 40.3818, 'longitude': -80.04437}",['delivery'],"{'address1': '636 Washington Rd', 'address2': '', 'address3': '', 'city': 'Pittsburgh', 'zip_code': '15228', 'country': 'US', 'state': 'PA', 'display_address': ['636 Washington Rd', 'Pittsburgh, PA 15228']}",+14123444366,(412) 344-4366,8916.942734927658,$$
